City,Seed,C1_RMSE,C2_RMSE,Gain_pct,C1_MAE,C2_MAE,Gate,Q,Gamma,Alpha
bengaluru,11,11.143571247107657,10.931695557177116,1.901326650426675,8.388407534246575,8.313307056001833,sev_or_cp_or_er,0.75,0.2,10.0
bengaluru,22,11.08148982430262,10.800559829970458,2.535128387845988,8.371421232876711,8.201802738498737,sev_or_cp_or_er,0.75,0.2,10.0
bengaluru,33,11.022024625733078,10.745604541714204,2.507888463372858,8.379851598173518,8.230341559095443,sev_or_cp_or_er,0.75,0.2,10.0
bengaluru,44,10.72192252340891,10.38076198174902,3.1818970983519343,8.073390410958906,7.859262654549307,sev_or_cp_or_er,0.75,0.2,10.0
bengaluru,55,10.711126805473006,10.432258560733493,2.6035378891884786,8.067488584474885,7.935918264646945,sev_or_cp_or_er,0.75,0.2,10.0
bengaluru,66,10.856940077339535,10.635000049047534,2.044222651235165,8.188966894977169,8.095500150456177,sev_or_cp_or_er,0.75,0.2,10.0
bengaluru,77,11.03699301773259,10.79583509247559,2.1849966278817323,8.317922374429223,8.225083679132611,sev_or_cp_or_er,0.75,0.2,10.0
hyderabad,11,9.009922256607451,8.81509151253392,2.1624020554744896,6.407391552511415,6.396266002761397,severity,0.85,0.5,30.0
hyderabad,22,8.82923199188868,8.613915794460219,2.4386741409249346,6.35214611872146,6.309237002317236,severity,0.85,0.5,30.0
hyderabad,33,8.994451055022894,8.791804498941497,2.253017497585145,6.368378995433791,6.3411589974947065,severity,0.85,0.5,30.0
hyderabad,44,9.017399039923069,8.814920617563926,2.245419343900613,6.3838470319634695,6.34902625988742,severity,0.85,0.5,30.0
hyderabad,55,9.089748007921209,8.882377936120621,2.281362163394148,6.419160958904109,6.384485840070497,severity,0.85,0.5,30.0
hyderabad,66,8.928624621185866,8.755423055011025,1.9398459843845128,6.35841894977169,6.3570987786557405,severity,0.85,0.5,30.0
hyderabad,77,8.942090172752085,8.737001240029048,2.2935234241763056,6.348270547945207,6.3159201175068205,severity,0.85,0.5,30.0
chennai,11,24.52483609231329,23.701595583171727,3.356762532653939,15.899657534246575,15.545904203354915,all_soft,0.55,0.5,10.0
chennai,22,24.437918298290064,23.59359480228887,3.454973069699937,15.51070205479452,15.12789486273694,all_soft,0.55,0.5,10.0
chennai,33,24.327936362970576,23.55990875410409,3.1569780412427293,15.620182648401826,15.2612508099079,all_soft,0.55,0.5,10.0
chennai,44,24.338813097355704,23.5416848787607,3.275131845610033,15.458264840182649,15.084035050065012,all_soft,0.55,0.5,10.0
chennai,55,24.271668465309453,23.47691266550554,3.2744176649406107,15.54751712328767,15.18679580927859,all_soft,0.55,0.5,10.0
chennai,66,24.06681908646902,23.23902489752973,3.4395662591102325,15.541746575342469,15.188177844459204,all_soft,0.55,0.5,10.0
chennai,77,24.294371753435424,23.539921695808385,3.105452016969132,15.582106164383562,15.203349520031436,all_soft,0.55,0.5,10.0
delhi,11,27.505288412606653,25.948068436919822,5.661529347836621,18.843464611872147,18.27266142019592,severity,0.55,0.5,10.0
delhi,22,27.872290979823426,26.072929061984095,6.455737417286116,19.09550799086758,18.39766238694487,severity,0.55,0.5,10.0
delhi,33,27.446970706451506,25.86543459353141,5.762151786566179,18.70675799086758,18.228706944049826,severity,0.55,0.5,10.0
delhi,44,27.58876388894573,25.899705012933733,6.122270946284659,18.872323059360728,18.20916839948966,severity,0.55,0.5,10.0
delhi,55,26.808029028641677,25.316626939040138,5.563266467699372,18.569657534246574,18.1202202536824,severity,0.55,0.5,10.0
delhi,66,27.379740444755924,25.896540381605064,5.417144352202724,18.78984589041096,18.28677067408927,severity,0.55,0.5,10.0
delhi,77,27.17237692678039,25.665657410371733,5.5450412765460895,19.07986301369863,18.400426115866907,severity,0.55,0.5,10.0
jaipur,11,24.152863995226294,22.329238215588376,7.5503500537176595,14.416672374429224,12.684941202227156,all_soft,0.55,0.5,10.0
jaipur,22,24.458129574112554,22.61739901562432,7.526047946186929,14.48293378995434,12.790643233951334,all_soft,0.55,0.5,10.0
jaipur,33,24.91198332781329,23.037465584710866,7.524562450271064,14.740405251141556,12.969494030888027,all_soft,0.55,0.5,10.0
jaipur,44,24.433517953301287,22.64104168330071,7.33613666859786,14.649240867579906,12.999640207891142,all_soft,0.55,0.5,10.0
jaipur,55,24.392297480593214,22.48832022099049,7.805649554403605,14.866649543378996,12.89925390418395,all_soft,0.55,0.5,10.0
jaipur,66,24.80154487500394,22.930821353452995,7.542770141856532,14.76479452054795,12.903937640844214,all_soft,0.55,0.5,10.0
jaipur,77,24.753091445825117,22.897633285356385,7.495864363162899,14.921358447488585,13.168330292931437,all_soft,0.55,0.5,10.0
lucknow,11,23.549257671158838,23.05562477032607,2.0961718102788653,17.38090182648402,17.187669915081937,severity,0.55,0.5,10.0
lucknow,22,24.393484872037863,23.765161668089668,2.575782866795056,17.784457762557075,17.480579108302326,severity,0.55,0.5,10.0
lucknow,33,24.59490589483984,23.82298439550603,3.1385421950151247,17.99277397260274,17.67124687062826,severity,0.55,0.5,10.0
lucknow,44,24.474051805328067,23.838743001977697,2.595846443424056,17.72566780821918,17.479764827618002,severity,0.55,0.5,10.0
